source,title,url,published,description
mlive,Florida woman allegedly used GPS trick to steal from Michigan’s Medicaid program,https://www.mlive.com/news/2026/05/florida-woman-allegedly-used-gps-trick-to-steal-from-michigans-medicaid-program.html,"Wed, 13 May 2026 19:43:16 +0000","Prosecutors allege the 53-year-old woman faked medical appointment trips while living in Michigan, collecting reimbursements for journeys that never happened."
alcom,GOP senator’s drunk son reportedly hurled antisemitic slur at Republican congressman in bar,https://www.al.com/politics/2026/05/gop-senators-drunk-son-reportedly-hurled-antisemitic-slur-at-republican-congressman-in-bar.html,"Wed, 13 May 2026 19:42:43 +0000","He claimed ""you Jews"" will be responsible if Rep. Thomas Massie loses his Kentucky primary."
silive,NY weather: Thunderstorms with pea-sized hail in Cayuga and Onondaga counties Wednesday – wind gusts up to 40 mph,https://www.silive.com/weather-alerts/2026/05/ny-weather-thunderstorms-with-pea-sized-hail-in-cayuga-and-onondaga-counties-wednesday-wind-gusts-up.html,"Wed, 13 May 2026 19:42:25 +0000",The National Weather Service issued a report at 3:37 p.m. on Wednesday for strong thunderstorms until 4 p.m. for Cayuga and Onondaga counties.
oregonlive,The beginner's mind is the most powerful creative force there is — and elementary schoolers have it in abundance,https://www.oregonlive.com/living/2026/05/want-to-love-art-again-go-to-an-elementary-school-talent-show.html,"Wed, 13 May 2026 19:41:11 +0000","Elementary school talent shows showcase something professional artists can never achieve: art without artifice, performed by kids brave enough to crack themselves open on stage."
mlive,Lawsuit seeks to stop proposed $570M Wayne County transit tax,https://www.mlive.com/news/detroit/2026/05/lawsuit-seeks-to-stop-proposed-570m-wayne-county-transit-tax.html,"Wed, 13 May 2026 19:41:09 +0000","The lawsuit alleges the Wayne County Transit Authority violated Michigan’s Open Meetings Act, Freedom of Information Act, election law and the General Property Tax Act while advancing the transit proposal."
mlive,"Target is selling one of Costway’s top tower fans for less than $55, originally $133",https://www.mlive.com/shopping/2026/05/target-is-selling-one-of-costways-top-tower-fans-for-less-than-55-originally-133.html,"Wed, 13 May 2026 19:38:16 +0000",Beat the summer heat with this top-rated tower fan that Target just slashed to $53.
masslive,WMass community named ‘tree city’ for urban forestry work,https://www.masslive.com/westernmass/2026/05/wmass-community-named-tree-city-for-urban-forestry-work.html,"Wed, 13 May 2026 19:37:41 +0000",The honor is given by the Arbor Day Foundation to recognize commitment to planting and maintaining community trees.
njcom,Linden residential properties sales: Sold from May 4 to 10,https://www.nj.com/realestate-news/2026/05/linden-residential-properties-sales-sold-from-may-4-to-10.html,"Wed, 13 May 2026 19:36:37 +0000","The following is a listing of all residential property transfers in Linden reported during the week of May 4. There were 9 transactions posted during this time. During this period, the median sale for the area was a 1,557-square-foot property on Wood Avenue in Linden that sold for $610,000."
masslive,GOP Lt. Gov. candidate Anne Brensley comes up short on signatures for fall ballot,https://www.masslive.com/politics/2026/05/gop-lt-gov-candidate-anne-brensley-comes-up-short-on-signatures-for-fall-ballot.html,"Wed, 13 May 2026 19:35:09 +0000","Just weeks after winning the Republican endorsement, Anne Brensley's campaign faces an unprecedented signature collection crisis that could end her run."
cleveland,Vote: Who is the best pitcher in Ohio high school baseball in 2026?,https://www.cleveland.com/highschoolsports/2026/05/vote-who-is-the-best-pitcher-in-ohio-high-school-baseball-in-2026.html,"Wed, 13 May 2026 19:34:53 +0000",Which pitcher has been the best of the best in Ohio high school baseball this spring?
oregonlive,"AI falls prey to ‘institutional influence’ in authoritarian countries, spews party line, UO researcher says",https://www.oregonlive.com/nation/2026/05/ai-falls-prey-to-institutional-influence-in-authoritarian-countries-spews-party-line-uo-researcher-says.html,"Wed, 13 May 2026 19:31:58 +0000",An AI chatbot trained on propaganda sees no problem with propaganda.
newyorkupstate,Yankees vs. Orioles FREE live stream: Where to watch MLB today,https://www.newyorkupstate.com/sports/2026/05/yankees-vs-orioles-free-live-stream-where-to-watch-mlb-today.html,"Wed, 13 May 2026 19:30:00 +0000","New York has lost its past four games, including Monday against Baltimore."
syracuse,L.L.Bean drops special edition monogram tote bag for $50,https://www.syracuse.com/shopping/2026/05/llbean-drops-special-edition-monogram-tote-bag-for-50.html,"Wed, 13 May 2026 19:30:00 +0000","If you love a bag that can handle your busy, everything-packed lifestyle while still looking effortlessly cool, this is it."
njcom,Who’s lighting it up? Boys lacrosse weekly stat leaders for May 6 - May 12,https://www.nj.com/highschoolsports/2026/05/whos-lighting-it-up-boys-lacrosse-weekly-stat-leaders-for-may-6-may-12.html,"Wed, 13 May 2026 19:30:00 +0000","Boys lacrosse stats leaderboards for points, goals, assists, saves, ground balls and faceoff wins for May 6 - May 12."
syracuse,Yankees vs. Orioles FREE live stream: Where to watch MLB today,https://www.syracuse.com/tv/2026/05/yankees-vs-orioles-free-live-stream-where-to-watch-mlb-today.html,"Wed, 13 May 2026 19:30:00 +0000","New York has lost its past four games, including Monday against Baltimore."
pennlive,"Hershey’s Maddie Zimmer, Palmyra’s Lauren Wadas part of USA Field Hockey Nations Cup roster",https://www.pennlive.com/sports/2026/05/hersheys-maddie-zimmer-palmyras-lauren-wadas-part-of-usa-field-hockey-nations-cup-roster.html,"Wed, 13 May 2026 19:30:00 +0000","Team USA will compete in Auckland, New Zealand next month"
pennlive,Civilian who charged into burning building among those honored during Dauphin County ceremony,https://www.pennlive.com/news/2026/05/civilian-who-charged-into-burning-building-among-those-honored-during-dauphin-county-ceremony.html,"Wed, 13 May 2026 19:29:35 +0000","The Dauphin County District Attorney honored several law enforcement professionals, firefighters, and the 18-year-old man with awards to celebrate National Police Week."
mlive,"Washtenaw Community College to award 2,600 degrees, certificates amid 60th year",https://www.mlive.com/news/ann-arbor/2026/05/washtenaw-community-college-to-award-2600-degrees-certificates-amid-60th-year.html,"Wed, 13 May 2026 19:26:40 +0000","The institution will honor grads at Saturday's commencement, which is slated to include several speakers."
njcom,Recently sold residential properties in West Orange: May 4 to 10,https://www.nj.com/realestate-news/2026/05/recently-sold-residential-properties-in-west-orange-may-4-to-10.html,"Wed, 13 May 2026 19:26:37 +0000","The following is a listing of all residential property transfers in West Orange reported during the week of May 4. There were 14 transactions posted during this time. During this period, the median sale for the area was a 1,543-square-foot property on Cummings Circle in West Orange that sold for $555,000."
pennlive,Here’s how country fans can still get tickets to see Jason Aldean and Luke Bryan’s Double Down Tour in 2026,https://www.pennlive.com/live-entertainment/2026/05/heres-how-country-fans-can-still-get-tickets-to-see-jason-aldean-and-luke-bryans-double-down-tour-in-2026.html,"Wed, 13 May 2026 19:26:28 +0000","The country stars are bringing their co-headlining stadium tour to Montana, California, Washington D.C., and Las Vegas with special guests including Jon Pardi and Dylan Scott."
cleveland,Joe Flacco’s unique 2025 split between the Browns and Bengals is getting a new spotlight,https://www.cleveland.com/sports/2026/05/joe-flaccos-unique-2025-split-between-the-browns-and-bengals-is-getting-a-new-spotlight.html,"Wed, 13 May 2026 19:24:44 +0000","Joe Flacco played for both the Browns and Bengals in 2025, earning a Pro Bowl nod and Netflix spotlight."
njcom,"Rain, isolated thunderstorms expected tonight before summer-like warmup",https://www.nj.com/weather/2026/05/nj-weather-rain-isolated-thunderstorms-expected-tonight-before-summer-like-warmup.html,"Wed, 13 May 2026 19:24:13 +0000","Total rainfall through Thursday should range from a tenth to a quarter of an inch, with locally higher amounts possible in any thunderstorms, forecasters said."
mlive,"Founder, CEO of nonprofit took $1.4M meant for preschoolers in poverty",https://www.mlive.com/news/grand-rapids/2026/05/founder-ceo-of-nonprofit-took-14m-meant-for-preschoolers-in-poverty.html,"Wed, 13 May 2026 19:23:55 +0000","Nkechy Ezeh stole $1.4 million from the Grand Rapids-based Early Learning Neighborhood Collaborative, wiring hundreds of thousands to family in Nigeria while 35 employees were laid off without notice when the organization collapsed."
oregonlive,5.5-carat blue-green diamond sells for more than $17M,https://www.oregonlive.com/nation/2026/05/55-carat-blue-green-diamond-sells-for-more-than-17m.html,"Wed, 13 May 2026 19:23:37 +0000",Christie’s auction house calls it a record price for a stone of its kind sold at auction.
lehighvalley,"Man accused of shooting at car with child inside during traffic dispute, Bethlehem police say",https://www.lehighvalleylive.com/bethlehem/2026/05/man-accused-of-shooting-at-car-with-child-inside-during-traffic-dispute-bethlehem-police-say.html,"Wed, 13 May 2026 19:21:05 +0000",The 36-year-old allegedly fired at a vehicle carrying a juvenile passenger during a Wednesday morning confrontation at a busy Bethlehem intersection.
masslive,"Holyoke considered a change to public comment rules, then tabled it",https://www.masslive.com/westernmass/2026/05/holyoke-considered-a-change-to-public-comment-rules-then-tabled-it.html,"Wed, 13 May 2026 19:20:59 +0000","A debate over fairness and free speech stalled proposed changes to public comment, including new rules for people participating remotely."
silive,Port Richmond High School Hall of Fame Class of 2026 announced,https://www.silive.com/news/2026/05/port-richmond-high-school-hall-of-fame-class-of-2026-announced.html,"Wed, 13 May 2026 19:20:24 +0000","Six alumni spanning seven decades will be inducted on May 12, including Staten Island's first borough parks commissioner and a pediatric emergency medicine chief from Children's National Hospital."
silive,‘Survivor 50′ is bringing back something fans haven’t seen in years,https://www.silive.com/entertainment/tvfilm/2026/05/survivor-50-is-bringing-back-something-fans-havent-seen-in-years.html,"Wed, 13 May 2026 19:19:46 +0000",Dramatic moves after the merge have pushed the milestone season into contention for best of the new era.
mlive,FanDuel Casino states: Where you can play and sign up today,https://www.mlive.com/online-casinos/2026/05/fanduel-casino-states-where-you-can-play-and-sign-up-today.html,"Wed, 13 May 2026 19:18:00 +0000","FanDuel Casino states include Michigan and Pennsylvania, with expansion possible as new iGaming laws are considered in Maine and beyond."
njcom,"See all residential properties sold in Vineland area, April 27 to May 10",https://www.nj.com/realestate-news/2026/05/see-all-residential-properties-sold-in-vineland-area-april-27-to-may-10.html,"Wed, 13 May 2026 19:16:37 +0000","The following is a listing of all residential property transfers in Vineland area reported during the week of April 27. There were 20 transactions posted during this time. During this period, the median sale for the area was a 1,632-square-foot property on Elmer Road in Vineland that sold for $285,000."
silive,NY weather: Thunderstorms with marble-sized hail in Seneca and Cayuga counties Wednesday,https://www.silive.com/weather-alerts/2026/05/ny-weather-thunderstorms-with-marble-sized-hail-in-seneca-and-cayuga-counties-wednesday.html,"Wed, 13 May 2026 19:16:25 +0000",The National Weather Service issued a weather alert at 3:10 p.m. on Wednesday for strong thunderstorms until 3:45 p.m. for Seneca and Cayuga counties.
syracuse,Update: Thunderstorms with pea-sized hail in Cayuga and Onondaga counties Wednesday,https://www.syracuse.com/weather-alerts/2026/05/marble-sized-hail-expected-with-thunderstorms-in-seneca-and-cayuga-counties-wednesday-gusts-may-reac.html,"Wed, 13 May 2026 19:15:28 +0000",An updated weather alert was issued by the National Weather Service on Wednesday at 3:37 p.m. for strong thunderstorms until 4 p.m. for Cayuga and Onondaga counties.
pennlive,Update: Thunderstorms with damaging winds and quarter-sized hail in Greene County Wednesday – gusts to hit 60 mph,https://www.pennlive.com/weather-alerts/2026/05/update-thunderstorms-with-damaging-winds-and-quarter-sized-hail-in-greene-county-wednesday-gusts-to.html,"Wed, 13 May 2026 19:15:25 +0000",The National Weather Service issued an updated severe thunderstorm warning at 3:33 p.m. on Wednesday in effect until 3:45 p.m. for Greene County.
silive,"Savings, spending, and skepticism: S.I. Council delegation reacts to Mamdani budget",https://www.silive.com/politics/2026/05/savings-spending-and-skepticism-staten-island-council-delegation-reacts-to-nyc-mayor-mamdanis-budget-plan.html,"Wed, 13 May 2026 19:13:59 +0000","Before the plan is set in stone, it must go through negotiation stages in the City Council."
oregonlive,Woman sentenced for Elephants Deli fire in NW Portland,https://www.oregonlive.com/crime/2026/05/woman-sentenced-for-elephants-deli-fire-in-nw-portland.html,"Wed, 13 May 2026 19:10:30 +0000",Investigators said Catherine Stough appeared “extremely remorseful” when they interviewed her in March.
silive,NY weather update: Quarter-sized hail and damaging winds predicted with thunderstorms in part of New York Wednesday,https://www.silive.com/weather-alerts/2026/05/ny-weather-penny-sized-hail-and-damaging-winds-predicted-with-thunderstorms-in-part-of-new-york-wedn.html,"Wed, 13 May 2026 19:09:25 +0000","On Wednesday at 3:19 p.m. the National Weather Service issued an updated severe thunderstorm warning in effect until 4:15 p.m. for Monroe, Ontario and Wayne counties."
pennlive,Trinity’s Drew Bartoli tops latest PennLive boys lacrosse poll,https://www.pennlive.com/highschoolsports/2026/05/trinitys-drew-bartoli-tops-latest-pennlive-boys-lacrosse-poll.html,"Wed, 13 May 2026 19:09:19 +0000",Bartoli received 261 of the 469 total votes.
alcom,"Auburn women’s golf secures top spot at Simpsonville, headed to NCAA championship round",https://www.al.com/auburn/2026/05/auburn-womens-golf-secures-top-spot-at-simpsonville-headed-to-ncaa-championship-round.html,"Wed, 13 May 2026 19:07:47 +0000",Auburn women's golf team advances to the NCAA Championship after first place regional finish.
silive,New ‘Landman’ season could hit screens sooner than expected,https://www.silive.com/entertainment/tvfilm/2026/05/new-landman-season-could-hit-screens-sooner-than-expected.html,"Wed, 13 May 2026 19:07:15 +0000","""Landman"" has been a huge hit for Paramount+, and a new season is in the works."
mlive,Michigan football lands elite receiver in 2027 class,https://www.mlive.com/wolverines/football/2026/05/michigan-football-lands-elite-receiver-in-2027-class.html,"Wed, 13 May 2026 19:06:38 +0000",Chicago Mount Carmel four-star WR Quentin Burrell is a top-100 recruit nationally.
alcom,Cignetti on working for Saban: ‘Every day was fourth-and-1’,https://www.al.com/alabamafootball/2026/05/curt-cignetti-on-working-for-nick-saban-every-day-was-fourth-and-1.html,"Wed, 13 May 2026 19:06:18 +0000",Indiana coach featured in latest ‘Pate State’ interview episode
masslive,‘The Boys’ season 5 episode 7 - Stream for free today,https://www.masslive.com/tv/2026/05/the-boys-season-5-episode-7-stream-for-free-today.html,"Wed, 13 May 2026 19:05:51 +0000","A new episode of Prime Video's ""The Boys"" season 5 is available to stream on Wednesday, May 13."
silive,Target takes 62% off Vera Bradley Outlet’s bestselling Ultralight Travel Duffel in new summer shades,https://www.silive.com/shopping-deals/2026/05/target-takes-62-off-vera-bradley-outlets-bestselling-ultralight-travel-duffel-in-new-summer-shades.html,"Wed, 13 May 2026 19:05:00 +0000","Target's latest online-only sale section slashes 62% off the Vera Bradley Outlet's Ultralight Travel Duffel, hauling the popular higher-cost duffel to under $100"
oregonlive,"After breakout year, Donovan Clingan ‘motivated’ by playoff woes: Trail Blazers season review",https://www.oregonlive.com/blazers/2026/05/after-breakout-year-donovan-clingan-motivated-by-playoff-woes-trail-blazers-season-review.html,"Wed, 13 May 2026 19:05:00 +0000",The Trail Blazers center averaged 12.1 points and 11.6 rebounds while establishing himself as one of the NBA's best young big men.
njcom,Target takes 62% off Vera Bradley Outlet’s bestselling Ultralight Travel Duffel in new summer shades,https://www.nj.com/shopping-deals/2026/05/target-takes-62-off-vera-bradley-outlets-bestselling-ultralight-travel-duffel-in-new-summer-shades.html,"Wed, 13 May 2026 19:05:00 +0000","Target's latest online-only sale section slashes 62% off the Vera Bradley Outlet's Ultralight Travel Duffel, hauling the popular higher-cost duffel to under $100"
njcom,"Bet365 Casino bonus code: Use NJCOM365 now for up to a $1,000 deposit match and 1,000 spins welcome package in May 2026",https://www.nj.com/online-casinos/bonuses/bet365/,"Wed, 13 May 2026 19:04:54 +0000","Use bet365 casino bonus code NJCOM365 to unlock a new user sign-up promo that will match a deposit up to $1,000 and also gift one-thousand bonus spins in 2026."
njcom,Yankees’ Max Fried leaves game with elbow injury,https://www.nj.com/yankees/2026/05/yankees-max-fried-leaves-game-with-elbow-injury.html,"Wed, 13 May 2026 19:04:38 +0000",Yankees left-hander Max Fried left his start Wednesday in Baltimore with an elbow injury.
lehighvalley,Update: Thunderstorms with quarter-sized hail and damaging winds in Greene County Wednesday – gusts up to 60 mph,https://www.lehighvalleylive.com/weather-alerts/2026/05/thunderstorms-with-quarter-sized-hail-and-damaging-winds-in-greene-county-wednesday-gusts-up-to-60-m.html,"Wed, 13 May 2026 19:04:33 +0000",On Wednesday at 3:33 p.m. an updated severe thunderstorm warning was issued by the National Weather Service in effect until 3:45 p.m. for Greene County.
pennlive,Thunderstorms with marble-sized hail in Elk County Wednesday – gusts up to 50 mph,https://www.pennlive.com/weather-alerts/2026/05/thunderstorms-with-marble-sized-hail-in-elk-county-wednesday-gusts-up-to-50-mph.html,"Wed, 13 May 2026 19:04:25 +0000",A weather alert was issued by the National Weather Service on Wednesday at 2:59 p.m. for strong thunderstorms until 3:45 p.m. for Elk County.
lehighvalley,Update: Be ready for penny-sized hail with thunderstorms in Elk County Wednesday – gusts could peak at 50 mph,https://www.lehighvalleylive.com/weather-alerts/2026/05/be-ready-for-marble-sized-hail-with-thunderstorms-in-elk-county-wednesday-gusts-could-peak-at-50-mph.html,"Wed, 13 May 2026 19:04:25 +0000",An updated report from the National Weather Service was issued on Wednesday at 3:40 p.m. for strong thunderstorms until 4:15 p.m. for Elk County.
njcom,"Former judge, developer charged with $6.5M real estate fraud in N.J.",https://www.nj.com/news/2026/05/former-judge-developer-charged-with-65m-real-estate-fraud-in-nj.html,"Wed, 13 May 2026 19:03:31 +0000",Former New York judge and developer charged in scheme that feds say used bogus N.J. real estate deal to swindle investors out of millions.
pennlive,Angry crowd demands resignation of Pa. county council president for anti-trans campaign mailers,https://www.pennlive.com/politics/2026/05/angry-crowd-demands-resignation-of-pa-county-council-president-for-anti-trans-campaign-mailers.html,"Wed, 13 May 2026 19:02:59 +0000",The mailer criticized his opponent for being supported by an “extreme left group” that advocates for transgender athletes.
